Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,4,4,1000,73,0,00,0,00,4,1000,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
ArnsbergHellweg-Sauerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Aschaffenburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Berlin,59,55,932,70,1,17,6,102,39,661,10,169,2,34,1,17,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bodensee-Oberschwaben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bonn/Rhein-Sieg,7,7,1000,77,0,00,2,286,4,571,1,143,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Braunschweig,4,4,1000,73,0,00,1,250,3,750,0,00,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremen,11,11,1000,78,0,00,6,545,4,364,1,91,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Chemnitz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Coburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Cottbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Darmstadt,3,3,1000,73,0,00,1,333,1,333,1,333,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dortmund,8,7,875,60,0,00,0,00,3,375,4,500,1,125,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Dresden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Düsseldorf,56,56,1000,76,0,00,20,357,29,518,7,125,0,00,0,00,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
Erfurt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
"Essen,MülheimanderRuhr,OberhausenEssen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Entwicklung von Marketing- und Kommunikations', 'Umsetzung und Steuerung von Marketing- und Ko', 'Wirtschafts- und Sozialkunde', 'Fallbezogenes Fachgespräch']"
