Standort,Anzahl Teilnehmer,davon bestanden,Bestehensquote,ø Gesamtpunktzahl,Note 1,Note 1 in Prozent,Note 2,Note 2 in Prozent,Note 3,Note 3 in Prozent,Note 4,Note 4 in Prozent,Note 5,Note 5 in Prozent,Note 6,Note 6 in Prozent,modules
Aachen,237,224,945,77,34,143,80,338,80,338,33,139,8,34,2,08,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Arnsberg Hellweg - Sauerland,80,79,988,74,3,38,29,363,30,375,17,213,1,13,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Aschaffenburg,72,69,958,76,7,97,20,278,28,389,16,222,1,14,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Berlin,686,601,876,66,27,39,118,172,254,370,208,303,56,82,23,34,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bodensee-Oberschwaben,88,87,989,77,6,68,27,307,41,466,13,148,1,11,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bonn / Rhein-Sieg,195,185,949,73,9,46,61,313,71,364,46,236,5,26,3,15,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Braunschweig,106,99,934,75,12,113,33,311,43,406,12,113,5,47,1,09,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bremen,207,200,966,73,10,48,67,324,73,353,51,246,5,24,1,05,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Bremerhaven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
Chemnitz,150,141,940,73,11,73,48,320,47,313,35,233,9,60,0,00,"['Informationstechnisches Büromanagement', 'Kundenbeziehungsprozesse', 'Wirtschafts- und Sozialkunde', 'Fachaufgabe in der Wahlqualifikation']"
